<<<<<<< HEAD
Score : 0.48331207 | data/js/programs_50/file1082.js : 7620 - 7620 | ID:length | unknown
Score : 0.993306 | data/js/programs_50/file1082.js : 6257 - 6257 | LIT:1 | number
Score : 0.99321395 | data/js/programs_50/file1082.js : 1359 - 1360 | LIT:1 | number
Score : 0.9931379 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:1 | number
Score : 0.9931131 | data/js/programs_50/file1082.js : 2307 - 2307 | LIT:1 | number
Score : 0.9916145 | data/js/programs_50/file1082.js : 2244 - 2244 | LIT:1 | number
Score : 0.98972845 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:2 | number
Score : 0.989251 | data/js/programs_50/file1082.js : 4233 - 4233 | LIT:2 | number
Score : 0.9890276 | data/js/programs_50/file1082.js : 6590 - 6591 | LIT:0 | number
Score : 0.9887921 | data/js/programs_50/file1082.js : 2451 - 2451 | LIT:0 | number
Score : 0.987489 | data/js/programs_50/file1082.js : 2875 - 2875 | ID:length | unknown
Score : 0.98730516 | data/js/programs_50/file1082.js : 1987 - 1987 | LIT:0 | number
Score : 0.98730516 | data/js/programs_50/file1082.js : 6140 - 6140 | LIT:0 | number
Score : 0.9872637 | data/js/programs_50/file1082.js : 6911 - 6913 | ID:undefined | undefined
Score : 0.9866061 | data/js/programs_50/file1082.js : 3686 - 3691 | LIT:false | boolean
Score : 0.9862101 | data/js/programs_50/file1082.js : 5221 - 5221 | LIT:false | boolean
Score : 0.98611313 | data/js/programs_50/file1082.js : 3274 - 3274 | ID:length | unknown
Score : 0.98611313 | data/js/programs_50/file1082.js : 6701 - 6701 | ID:length | unknown
Score : 0.98498404 | data/js/programs_50/file1082.js : 6501 - 6501 | ID:length | unknown
Score : 0.9836676 | data/js/programs_50/file1082.js : 5730 - 5730 | ID:offsetWidth | unknown
Score : 0.98297656 | data/js/programs_50/file1082.js : 6087 - 6087 | LIT: | string
Score : 0.9824079 | data/js/programs_50/file1082.js : 402 - 402 | LIT: | string
Score : 0.98175067 | data/js/programs_50/file1082.js : 7284 - 7284 | LIT: | string
Score : 0.9816553 | data/js/programs_50/file1108.js : 283 - 283 | LIT:true | boolean
Score : 0.96264464 | data/js/programs_50/file1082.js : 696 - 700 | ID:fromCharCode | unknown
Score : 0.96066135 | data/js/programs_50/file1082.js : 7606 - 7611 | ID:css | unknown
Score : 0.94799364 | data/js/programs_50/file1082.js : 2216 - 2216 | ID:call | unknown
Score : 0.94635355 | data/js/programs_50/file1082.js : 6046 - 6048 | ID:style | unknown
Score : 0.9434458 | data/js/programs_50/file1082.js : 5803 - 5803 | ID:display | unknown
Score : 0.9404488 | data/js/programs_50/file1082.js : 7374 - 7374 | LIT:on | string
Score : 0.937569 | data/js/programs_50/file1082.js : 5688 - 5688 | LIT:border | string
Score : 0.9355445 | data/js/programs_50/file1082.js : 5418 - 5422 | ID:display | unknown
Score : 0.93211365 | data/js/programs_50/file1082.js : 2548 - 2551 | ID:toLowerCase | unknown
Score : 0.92568576 | data/js/programs_50/file1082.js : 7474 - 7474 | ID:value | unknown
Score : 0.9248377 | data/js/programs_50/file1082.js : 7144 - 7146 | ID:replace | unknown
Score : 0.9246799 | data/js/programs_50/file1082.js : 1419 - 1425 | ID:val | unknown
Score : 0.9186077 | data/js/programs_50/file1082.js : 7250 - 7254 | ID:replace | unknown
Score : 0.91670036 | data/js/programs_50/file1082.js : 1423 - 1425 | ID:value | unknown
Score : 0.90719 | data/js/programs_50/file1082.js : 3603 - 3603 | ID:value | unknown
Score : 0.89398074 | data/js/programs_50/file1082.js : 219 - 219 | ID:src | unknown
Score : 0.8879559 | data/js/programs_50/file1082.js : 4056 - 4057 | ID:apply | unknown
Score : 0.884091 | data/js/programs_50/file1082.js : 7041 - 7043 | ID:tabIndex | unknown
Score : 0.8821913 | data/js/programs_50/file1082.js : 1283 - 1287 | ID:compareDocumentPosition | unknown
Score : 0.8785316 | data/js/programs_50/file1082.js : 7027 - 7029 | ID:ret | unknown
Score : 0.87149256 | data/js/programs_50/file1082.js : 3352 - 3352 | ID:readyWait | unknown
Score : 0.87122464 | data/js/programs_50/file1082.js : 6591 - 6591 | ID:speeds | unknown
Score : 0.8624245 | data/js/programs_50/file1082.js : 4158 - 4158 | ID:delegateType | unknown
Score : 0.8529084 | data/js/programs_50/file1082.js : 2646 - 2646 | ID:unique | unknown
Score : 0.8474288 | data/js/programs_50/file1082.js : 112 - 112 | LIT:this | unknown
Score : 0.84727955 | data/js/programs_50/file1082.js : 3463 - 3463 | ID:fn | unknown
Score : 0.8420267 | data/js/programs_50/file1082.js : 5283 - 5283 | LIT:this | object
Score : 0.83977985 | data/js/programs_50/file1107.js : 473 - 475 | ID:query | unknown
Score : 0.8367146 | data/js/programs_50/file1082.js : 7414 - 7414 | ID:off | unknown
Score : 0.8327329 | data/js/programs_50/file1082.js : 3457 - 3463 | ID:elems | unknown
Score : 0.8273574 | data/js/programs_50/file1082.js : 5137 - 5143 | ID:text | unknown
Score : 0.820842 | data/js/programs_50/file1082.js : 3221 - 3221 | ID:extend | unknown
Score : 0.79482114 | data/js/programs_50/file1107.js : 603 - 604 | ID:query | unknown
Score : 0.7863751 | data/js/programs_50/file1082.js : 4205 - 4205 | ID:split | unknown
Score : 0.7852057 | data/js/programs_50/file1082.js : 1777 - 1794 | ID:markFunction | unknown
Score : 0.7836969 | data/js/programs_50/file1082.js : 5965 - 5969 | ID:swap | unknown
Score : 0.7792792 | data/js/programs_50/file1082.js : 3155 - 3155 | ID:slice | unknown
Score : 0.77747 | data/js/programs_50/file1082.js : 4520 - 4520 | ID:filter | unknown
Score : 0.7695718 | data/js/programs_50/file1082.js : 3690 - 3691 | ID:parseJSON | unknown
Score : 0.73631227 | data/js/programs_50/file1082.js : 2705 - 2705 | ID:context | unknown
Score : 0.7252675 | data/js/programs_50/file1082.js : 2846 - 2848 | ID:jQuery | unknown
Score : 0.70844066 | data/js/programs_50/file1082.js : 2042 - 2045 | ID:error | unknown
Score : 0.6731217 | data/js/programs_50/file1082.js : 4875 - 4875 | ID:content | unknown
Score : 0.6723755 | data/js/programs_50/file1082.js : 6398 - 6398 | ID:dataShow | unknown
Score : 0.6627079 | data/js/programs_50/file1082.js : 1676 - 1676 | ID:firstChild | unknown
Score : 0.65574276 | data/js/programs_50/file1082.js : 7525 - 7529 | ID:map | unknown
Score : 0.65495527 | data/js/programs_50/file1082.js : 7174 - 7174 | ID:addClass | unknown
Score : 0.6519813 | data/js/programs_50/file1082.js : 2900 - 2901 | ID:prevObject | unknown
Score : 0.6412398 | data/js/programs_50/file1082.js : 1244 - 1244 | ID:documentElement | unknown
Score : 0.6224827 | data/js/programs_50/file1082.js : 7510 - 7510 | ID:makeArray | unknown
Score : 0.44388047 | data/js/programs_50/file1082.js : 4947 - 4948 | ID:querySelectorAll | unknown
Score : 0.3714227 | data/js/programs_50/file1082.js : 25 - 32 | ID:factory | unknown
>>>>>>> refs/remotes/origin/imanbranch
