Score : 0.2679177 | data/js/programs_50/file1082.js : 1825 - 1827 | ID:lang | unknown
Score : 0.5394962 | data/js/programs_50/file1082.js : 6398 - 6398 | ID:dataShow | unknown
Score : 0.5436122 | data/js/programs_50/file1082.js : 1247 - 1249 | ID:contains | unknown
Score : 0.5438867 | data/js/programs_50/file1082.js : 7451 - 7451 | ID:i | unknown
Score : 0.5447941 | data/js/programs_50/file1082.js : 4617 - 4622 | ID:returnTrue | unknown
Score : 0.54770696 | data/js/programs_50/file1082.js : 3685 - 3691 | LIT:true | boolean
Score : 0.548646 | data/js/programs_50/file1082.js : 7032 - 7034 | ID:ret | unknown
Score : 0.54871666 | data/js/programs_50/file1082.js : 2914 - 2914 | ID:parent | unknown
Score : 0.5525281 | data/js/programs_50/file1107.js : 603 - 604 | ID:query | unknown
Score : 0.5533443 | data/js/programs_50/file1108.js : 283 - 283 | LIT:true | boolean
Score : 0.5559481 | data/js/programs_50/file1082.js : 3463 - 3463 | ID:fn | unknown
Score : 0.56137204 | data/js/programs_50/file1082.js : 931 - 931 | LIT:1 | number
Score : 0.56137204 | data/js/programs_50/file1082.js : 5833 - 5833 | LIT:1 | string
Score : 0.5623875 | data/js/programs_50/file1082.js : 6590 - 6591 | ID:duration | unknown
Score : 0.5637802 | data/js/programs_50/file1082.js : 1676 - 1676 | ID:firstChild | unknown
Score : 0.5651055 | data/js/programs_50/file1082.js : 4204 - 4204 | ID:type | unknown
Score : 0.5657063 | data/js/programs_50/file1082.js : 7159 - 7159 | ID:trim | unknown
Score : 0.56724185 | data/js/programs_50/file1082.js : 2767 - 2770 | ID:ready | unknown
Score : 0.5690625 | data/js/programs_50/file1082.js : 3906 - 3917 | LIT:this | object
Score : 0.5690625 | data/js/programs_50/file1082.js : 5283 - 5283 | LIT:this | object
Score : 0.5710482 | data/js/programs_50/file1082.js : 7027 - 7029 | ID:ret | unknown
Score : 0.5735489 | data/js/programs_50/file1082.js : 2866 - 2866 | ID:unique | unknown
Score : 0.57363224 | data/js/programs_50/file1082.js : 1326 - 1331 | LIT:1 | number
Score : 0.57373846 | data/js/programs_50/file1082.js : 5221 - 5221 | LIT:false | boolean
Score : 0.57492554 | data/js/programs_50/file1082.js : 2662 - 2664 | ID:jQuery | unknown
Score : 0.57719755 | data/js/programs_50/file1082.js : 3686 - 3691 | LIT:false | boolean
Score : 0.5786884 | data/js/programs_50/file1082.js : 4228 - 4230 | ID:event | unknown
Score : 0.5800932 | data/js/programs_50/file1082.js : 1328 - 1331 | LIT:1 | number
Score : 0.58260685 | data/js/programs_50/file1082.js : 2521 - 2521 | LIT:1 | number
Score : 0.5828657 | data/js/programs_50/file1082.js : 7310 - 7310 | ID:index | unknown
Score : 0.5830962 | data/js/programs_50/file1082.js : 6404 - 6404 | LIT:1 | number
Score : 0.5831048 | data/js/programs_50/file1082.js : 4498 - 4498 | ID:concat | unknown
Score : 0.58809876 | data/js/programs_50/file1082.js : 4950 - 4952 | ID:merge | unknown
Score : 0.5911306 | data/js/programs_50/file1082.js : 3690 - 3691 | ID:parseJSON | unknown
Score : 0.5938705 | data/js/programs_50/file1082.js : 7250 - 7254 | ID:replace | unknown
Score : 0.596915 | data/js/programs_50/file1082.js : 2646 - 2646 | ID:unique | unknown
Score : 0.59702504 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:1 | number
Score : 0.59702504 | data/js/programs_50/file1082.js : 6257 - 6257 | LIT:1 | number
Score : 0.59776855 | data/js/programs_50/file1082.js : 1359 - 1360 | LIT:1 | number
Score : 0.59822786 | data/js/programs_50/file1082.js : 112 - 112 | LIT:this | unknown
Score : 0.59980685 | data/js/programs_50/file1082.js : 2279 - 2279 | LIT:* | string
Score : 0.60471374 | data/js/programs_50/file1082.js : 5965 - 5969 | ID:swap | unknown
Score : 0.6048588 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:3 | number
Score : 0.6050381 | data/js/programs_50/file1082.js : 2042 - 2045 | ID:error | unknown
Score : 0.60682786 | data/js/programs_50/file1082.js : 5392 - 5392 | LIT:this | object
Score : 0.6068716 | data/js/programs_50/file1082.js : 219 - 219 | ID:src | unknown
Score : 0.60694385 | data/js/programs_50/file1082.js : 2244 - 2244 | LIT:1 | number
Score : 0.60850817 | data/js/programs_50/file1082.js : 2846 - 2848 | ID:jQuery | unknown
Score : 0.6097297 | data/js/programs_50/file1082.js : 160 - 160 | ID:len | unknown
Score : 0.6102196 | data/js/programs_50/file1082.js : 2900 - 2901 | ID:prevObject | unknown
Score : 0.6105879 | data/js/programs_50/file1082.js : 7414 - 7414 | ID:off | unknown
Score : 0.617811 | data/js/programs_50/file1082.js : 222 - 222 | ID:src | unknown
Score : 0.63026434 | data/js/programs_50/file1082.js : 5688 - 5692 | LIT:4 | number
Score : 0.6327266 | data/js/programs_50/file1082.js : 38 - 38 | ID:window | unknown
Score : 0.6336936 | data/js/programs_50/file1082.js : 7606 - 7611 | ID:css | unknown
Score : 0.6337934 | data/js/programs_50/file1082.js : 1244 - 1244 | ID:documentElement | unknown
Score : 0.6345683 | data/js/programs_50/file1082.js : 4078 - 4078 | ID:delegateType | unknown
Score : 0.6345683 | data/js/programs_50/file1082.js : 4158 - 4158 | ID:delegateType | unknown
Score : 0.63563883 | data/js/programs_50/file1082.js : 7308 - 7310 | ID:max | unknown
Score : 0.63626707 | data/js/programs_50/file1082.js : 7612 - 7612 | ID:margin | unknown
Score : 0.6389506 | data/js/programs_50/file1082.js : 7102 - 7104 | ID:replace | unknown
Score : 0.6389506 | data/js/programs_50/file1082.js : 7144 - 7146 | ID:replace | unknown
Score : 0.6412509 | data/js/programs_50/file1082.js : 3352 - 3352 | ID:readyWait | unknown
Score : 0.6426253 | data/js/programs_50/file1082.js : 4233 - 4233 | LIT:2 | number
Score : 0.64419115 | data/js/programs_50/file1082.js : 6046 - 6048 | ID:style | unknown
Score : 0.64875233 | data/js/programs_50/file1082.js : 6591 - 6591 | ID:speeds | unknown
Score : 0.6503844 | data/js/programs_50/file1082.js : 2169 - 2169 | ID:preFilter | unknown
Score : 0.6558722 | data/js/programs_50/file1082.js : 4205 - 4205 | ID:split | unknown
Score : 0.6558722 | data/js/programs_50/file1082.js : 6012 - 6012 | ID:split | unknown
Score : 0.658102 | data/js/programs_50/file1082.js : 3568 - 3569 | ID:cache | unknown
Score : 0.66504157 | data/js/programs_50/file1082.js : 1987 - 1987 | LIT:0 | number
Score : 0.66504157 | data/js/programs_50/file1082.js : 6140 - 6140 | LIT:0 | number
Score : 0.6733409 | data/js/programs_50/file1082.js : 5763 - 5763 | LIT:border | string
Score : 0.6733964 | data/js/programs_50/file1082.js : 4474 - 4474 | LIT:2 | number
Score : 0.67982507 | data/js/programs_50/file1082.js : 6590 - 6591 | LIT:0 | number
Score : 0.68517005 | data/js/programs_50/file1082.js : 2451 - 2451 | LIT:0 | number
Score : 0.68596226 | data/js/programs_50/file1082.js : 5688 - 5688 | LIT:border | string
Score : 0.69032717 | data/js/programs_50/file1082.js : 1654 - 1654 | LIT:nextSibling | string
Score : 0.7043837 | data/js/programs_50/file1082.js : 694 - 700 | ID:escaped | unknown
Score : 0.72548974 | data/js/programs_50/file1082.js : 7581 - 7581 | LIT:margin | string
Score : 0.73435736 | data/js/programs_50/file1082.js : 4947 - 4948 | ID:querySelectorAll | unknown
Score : 0.76372576 | data/js/programs_50/file1082.js : 1283 - 1287 | ID:compareDocumentPosition | unknown
Score : 0.7655029 | data/js/programs_50/file1082.js : 2875 - 2875 | ID:length | unknown
Score : 0.77295005 | data/js/programs_50/file1082.js : 3274 - 3274 | ID:length | unknown
Score : 0.77295005 | data/js/programs_50/file1082.js : 6501 - 6501 | ID:length | unknown
Score : 0.7878022 | data/js/programs_50/file1082.js : 2040 - 2045 | ID:length | unknown
Score : 0.79280615 | data/js/programs_50/file1082.js : 6701 - 6701 | ID:length | unknown
Score : 0.8252922 | data/js/programs_50/file1082.js : 1421 - 1425 | ID:getAttribute | unknown
