Score : 0.047856808 | data/js/programs_50/file1082.js : 6237 - 6237 | ID:tween | unknown
Score : -0.11283833 | data/js/programs_50/file1088.js : 106 - 106 | LIT:o | string
Score : -0.11577469 | data/js/programs_50/file1082.js : 5463 - 5463 | ID:display | unknown
Score : -0.11628941 | data/js/programs_50/file1082.js : 6611 - 6611 | ID:opt | unknown
Score : -0.11704847 | data/js/programs_50/file1082.js : 7562 - 7562 | ID:merge | unknown
Score : -0.1174483 | data/js/programs_50/file1082.js : 546 - 546 | LIT:true | boolean
Score : -0.1188896 | data/js/programs_50/file1082.js : 1833 - 1833 | LIT:false | boolean
Score : -0.12156218 | data/js/programs_50/file1082.js : 1600 - 1600 | LIT:true | boolean
Score : -0.12163675 | data/js/programs_50/file1082.js : 1132 - 1132 | ID:tmp | unknown
Score : -0.12507892 | data/js/programs_50/file1132.js : 63 - 71 | ID:map | unknown
Score : -0.1250934 | data/js/programs_50/file1082.js : 3096 - 3096 | LIT:this | object
Score : -0.12674373 | data/js/programs_50/file1082.js : 1673 - 1673 | LIT:true | boolean
Score : -0.12675291 | data/js/programs_50/file1108.js : 266 - 266 | LIT:this | object
Score : -0.1279369 | data/js/programs_50/file1132.js : 91 - 91 | LIT:true | boolean
Score : -0.12801951 | data/js/programs_50/file1082.js : 2535 - 2535 | ID:defaultValue | unknown
Score : -0.13129908 | data/js/programs_50/file1108.js : 581 - 581 | ID:getItem | unknown
Score : -0.13227263 | data/js/programs_50/file1082.js : 6618 - 6621 | ID:animate | unknown
Score : -0.13304383 | data/js/programs_50/file1082.js : 2935 - 2935 | ID:dir | unknown
Score : -0.13315338 | data/js/programs_50/file1082.js : 7058 - 7058 | LIT:null | null
Score : -0.13349241 | data/js/programs_50/file1082.js : 420 - 420 | ID:ret | unknown
Score : -0.13349241 | data/js/programs_50/file1082.js : 5612 - 5612 | ID:ret | unknown
Score : -0.13358408 | data/js/programs_50/file1082.js : 457 - 457 | ID:matches | unknown
Score : -0.14082775 | data/js/programs_50/file1082.js : 7660 - 7660 | ID:jQuery | unknown
Score : -0.14134395 | data/js/programs_50/file1082.js : 7399 - 7399 | ID:mouseleave | unknown
Score : -0.14208037 | data/js/programs_50/file1082.js : 3719 - 3719 | ID:access | unknown
Score : -0.14463413 | data/js/programs_50/file1082.js : 3167 - 3167 | LIT:this | object
Score : -0.14492542 | data/js/programs_50/file1082.js : 4003 - 4003 | LIT:true | boolean
Score : -0.14507055 | data/js/programs_50/file1082.js : 4533 - 4533 | LIT:false | boolean
Score : -0.14639845 | data/js/programs_50/file1082.js : 1260 - 1260 | LIT:false | boolean
Score : -0.1472708 | data/js/programs_50/file1082.js : 7499 - 7499 | ID:replace | unknown
Score : -0.14743039 | data/js/programs_50/file1082.js : 1256 - 1256 | LIT:true | boolean
Score : -0.149176 | data/js/programs_50/file1082.js : 5661 - 5661 | ID:name | unknown
Score : -0.15511018 | data/js/programs_50/file1082.js : 5821 - 5821 | ID:elements | unknown
Score : -0.1562722 | data/js/programs_50/file1082.js : 1888 - 1888 | LIT:true | boolean
Score : -0.15749234 | data/js/programs_50/file1082.js : 5916 - 5916 | ID:ret | unknown
Score : -0.16367975 | data/js/programs_50/file1082.js : 2083 - 2083 | LIT:true | boolean
Score : -0.16675973 | data/js/programs_50/file1082.js : 279 - 279 | LIT:false | boolean
Score : -0.1675849 | data/js/programs_50/file1082.js : 3790 - 3790 | ID:data | unknown
Score : -0.16883439 | data/js/programs_50/file1108.js : 69 - 69 | ID:item | unknown
Score : -0.16948953 | data/js/programs_50/file1082.js : 7406 - 7406 | ID:off | unknown
Score : -0.17071414 | data/js/programs_50/file1082.js : 5224 - 5226 | ID:map | unknown
Score : -0.17103696 | data/js/programs_50/file1082.js : 4007 - 4007 | LIT:false | boolean
Score : -0.17111737 | data/js/programs_50/file1082.js : 3903 - 3903 | ID:queue | unknown
Score : -0.17132485 | data/js/programs_50/file1082.js : 6459 - 6459 | LIT:false | boolean
Score : -0.17147005 | data/js/programs_50/file1088.js : 94 - 94 | LIT:x | string
Score : -0.17265257 | data/js/programs_50/file1082.js : 1742 - 1742 | ID:fn | unknown
Score : -0.17814621 | data/js/programs_50/file1108.js : 56 - 56 | ID:array | unknown
Score : -0.17823428 | data/js/programs_50/file1082.js : 1571 - 1571 | LIT:null | null
Score : -0.18188998 | data/js/programs_50/file1082.js : 4752 - 4752 | LIT:this | object
Score : -0.18236518 | data/js/programs_50/file1082.js : 6897 - 6897 | ID:ret | unknown
Score : -0.18281904 | data/js/programs_50/file1082.js : 2102 - 2102 | LIT:true | boolean
Score : -0.18489093 | data/js/programs_50/file1082.js : 297 - 297 | LIT:true | boolean
Score : -0.18716198 | data/js/programs_50/file1082.js : 2929 - 2929 | ID:dir | unknown
Score : -0.1874266 | data/js/programs_50/file1088.js : 17 - 17 | LIT:true | boolean
Score : -0.18813902 | data/js/programs_50/file1108.js : 790 - 790 | LIT:this | object
Score : -0.19553912 | data/js/programs_50/file1082.js : 7410 - 7410 | ID:on | unknown
Score : -0.19671088 | data/js/programs_50/file1082.js : 4827 - 4829 | ID:each | unknown
Score : -0.20200795 | data/js/programs_50/file1082.js : 516 - 516 | ID:apply | unknown
Score : -0.20259419 | data/js/programs_50/file1082.js : 7226 - 7226 | LIT:false | boolean
Score : -0.20408335 | data/js/programs_50/file1082.js : 4896 - 4896 | ID:elem | unknown
Score : -0.20827854 | data/js/programs_50/file1082.js : 6993 - 6993 | ID:access | unknown
Score : -0.21164685 | data/js/programs_50/file1082.js : 289 - 289 | LIT:false | boolean
Score : -0.21164685 | data/js/programs_50/file1082.js : 6479 - 6479 | LIT:false | boolean
Score : -0.21638352 | data/js/programs_50/file1108.js : 37 - 37 | LIT:this | object
Score : -0.21719289 | data/js/programs_50/file1082.js : 5637 - 5637 | ID:ret | unknown
Score : -0.22279936 | data/js/programs_50/file1108.js : 86 - 88 | ID:replace | unknown
Score : -0.2230607 | data/js/programs_50/file1082.js : 4451 - 4451 | ID:event | unknown
Score : -0.22388789 | data/js/programs_50/file1082.js : 7222 - 7222 | LIT:true | boolean
Score : -0.22430807 | data/js/programs_50/file1082.js : 3445 - 3445 | ID:call | unknown
Score : -0.22824356 | data/js/programs_50/file1082.js : 5010 - 5010 | ID:clone | unknown
Score : -0.23041427 | data/js/programs_50/file1082.js : 2385 - 2385 | ID:unmatched | unknown
Score : -0.23171207 | data/js/programs_50/file1082.js : 2880 - 2880 | ID:call | unknown
Score : -0.23306239 | data/js/programs_50/file1082.js : 3783 - 3783 | ID:data | unknown
Score : -0.23435643 | data/js/programs_50/file1082.js : 4811 - 4811 | LIT:this | object
Score : -0.23661107 | data/js/programs_50/file1082.js : 3264 - 3264 | ID:deferred | unknown
Score : -0.23844102 | data/js/programs_50/file1082.js : 6753 - 6753 | ID:animate | unknown
Score : -0.23886436 | data/js/programs_50/file1136.js : 242 - 242 | LIT:false | boolean
Score : -0.23970827 | data/js/programs_50/file1088.js : 122 - 122 | LIT:false | boolean
Score : -0.24122769 | data/js/programs_50/file1082.js : 542 - 542 | LIT:false | boolean
Score : -0.24187776 | data/js/programs_50/file1082.js : 3199 - 3216 | ID:promise | unknown
Score : -0.24820787 | data/js/programs_50/file1088.js : 9 - 9 | LIT:false | boolean
Score : -0.2506391 | data/js/programs_50/file1082.js : 5225 - 5225 | ID:clone | unknown
Score : -0.26301223 | data/js/programs_50/file1082.js : 6858 - 6858 | ID:access | unknown
Score : -0.2658169 | data/js/programs_50/file1082.js : 5307 - 5313 | ID:each | unknown
Score : -0.26613194 | data/js/programs_50/file1082.js : 5537 - 5537 | ID:apply | unknown
Score : -0.26731706 | data/js/programs_50/file1082.js : 31 - 31 | ID:factory | unknown
Score : -0.27182966 | data/js/programs_50/file1088.js : 14 - 14 | LIT:false | boolean
Score : -0.27518326 | data/js/programs_50/file1082.js : 7590 - 7590 | ID:documentElement | unknown
Score : -0.27590698 | data/js/programs_50/file1082.js : 344 - 344 | ID:replace | unknown
Score : -0.276604 | data/js/programs_50/file1082.js : 4542 - 4542 | LIT:false | boolean
Score : -0.28272155 | data/js/programs_50/file1082.js : 2635 - 2635 | LIT:true | boolean
Score : -0.28272155 | data/js/programs_50/file1082.js : 2835 - 2835 | LIT:true | boolean
Score : -0.28479043 | data/js/programs_50/file1082.js : 2729 - 2729 | LIT:this | object
Score : -0.29060397 | data/js/programs_50/file1082.js : 3175 - 3175 | ID:self | unknown
Score : -0.2913406 | data/js/programs_50/file1082.js : 6169 - 6169 | ID:p | unknown
Score : -0.291498 | data/js/programs_50/file1108.js : 78 - 78 | ID:replace | unknown
Score : -0.29796347 | data/js/programs_50/file1082.js : 2884 - 2888 | ID:call | unknown
Score : -0.3004833 | data/js/programs_50/file1082.js : 1279 - 1279 | ID:compare | unknown
Score : -0.30254805 | data/js/programs_50/file1082.js : 510 - 510 | ID:undefined | undefined
Score : -0.30510288 | data/js/programs_50/file1082.js : 6862 - 6864 | ID:each | unknown
Score : -0.32425457 | data/js/programs_50/file1082.js : 6030 - 6049 | ID:access | unknown
Score : -0.32489026 | data/js/programs_50/file1082.js : 5136 - 5144 | ID:access | unknown
Score : -0.33261174 | data/js/programs_50/file1082.js : 7183 - 7213 | ID:each | unknown
Score : -0.33358112 | data/js/programs_50/file1082.js : 4821 - 4823 | ID:each | unknown
Score : -0.33433527 | data/js/programs_50/file1082.js : 3250 - 3250 | LIT:this | object
Score : -0.34176898 | data/js/programs_50/file1082.js : 1667 - 1667 | LIT:false | boolean
Score : -0.34319565 | data/js/programs_50/file1082.js : 3955 - 3955 | ID:promise | unknown
Score : -0.34707442 | data/js/programs_50/file1082.js : 2989 - 2989 | ID:object | unknown
Score : -0.3489997 | data/js/programs_50/file1082.js : 142 - 142 | ID:call | unknown
Score : -0.34906685 | data/js/programs_50/file1082.js : 4787 - 4789 | ID:each | unknown
Score : -0.35341766 | data/js/programs_50/file1108.js : 816 - 816 | LIT:true | boolean
Score : -0.3596893 | data/js/programs_50/file1082.js : 3762 - 3815 | ID:access | unknown
Score : -0.36517674 | data/js/programs_50/file1082.js : 4552 - 4552 | LIT:false | boolean
Score : -0.368296 | data/js/programs_50/file1082.js : 2120 - 2120 | LIT:true | boolean
Score : -0.3697907 | data/js/programs_50/file1082.js : 7262 - 7294 | ID:each | unknown
Score : -0.3783368 | data/js/programs_50/file1082.js : 3709 - 3709 | ID:access | unknown
Score : -0.3949675 | data/js/programs_50/file1082.js : 2117 - 2117 | LIT:false | boolean
Score : -0.39661166 | data/js/programs_50/file1082.js : 6062 - 6068 | ID:each | unknown
Score : -0.40222707 | data/js/programs_50/file1082.js : 1624 - 1624 | LIT:true | boolean
Score : -0.40527382 | data/js/programs_50/file1082.js : 3316 - 3316 | ID:promise | unknown
Score : -0.40978208 | data/js/programs_50/file1082.js : 522 - 522 | ID:proxy | unknown
Score : -0.41687623 | data/js/programs_50/file1082.js : 103 - 103 | ID:call | unknown
Score : -0.4185017 | data/js/programs_50/file1082.js : 7178 - 7180 | ID:each | unknown
Score : -0.42261374 | data/js/programs_50/file1082.js : 3819 - 3821 | ID:each | unknown
Score : -0.44594777 | data/js/programs_50/file1082.js : 292 - 292 | LIT:false | boolean
Score : -0.44670674 | data/js/programs_50/file1082.js : 7091 - 7093 | ID:each | unknown
Score : -0.45520467 | data/js/programs_50/file1082.js : 303 - 303 | LIT:false | boolean
Score : -0.47770303 | data/js/programs_50/file1082.js : 6695 - 6730 | ID:each | unknown
Score : -0.5118184 | data/js/programs_50/file1082.js : 3404 - 3404 | ID:promise | unknown
Score : -0.52140135 | data/js/programs_50/file1082.js : 1885 - 1885 | LIT:false | boolean
Score : -0.5293672 | data/js/programs_50/file1082.js : 3920 - 3922 | ID:each | unknown
Score : -0.5330219 | data/js/programs_50/file1082.js : 3757 - 3759 | ID:each | unknown
Score : -0.5535801 | data/js/programs_50/file1082.js : 6657 - 6689 | ID:each | unknown
Score : -0.57671547 | data/js/programs_50/file1082.js : 7134 - 7136 | ID:each | unknown
Score : -0.6494045 | data/js/programs_50/file1082.js : 137 - 137 | ID:each | unknown
Score : -0.7098644 | data/js/programs_50/file1082.js : 6997 - 6999 | ID:each | unknown
